AcX,AcY,AcZ,HR,Magnitude,SPO2,Temp,docId
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293251051
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293252052
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293253054
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293254059
"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0,0",4293255060
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293256065
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293257067
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293258074
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293259080
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293260086
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293261086
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293262091
"0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0",4293263099
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293264109
"0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0,0,0",4293265112
"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0",4293266116
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293267121
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293268130
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293269130
"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0",4293270135
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293271141
"0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","93,93,93,93,93,93,93,93,93,93","0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80","0,0,0,0,0,0,0,0,0,0",4293272150
